type,value,n
category,Card Game,2981
category,Wargame,2034
category,Fantasy,1218
family,Crowdfunding: Kickstarter,1028
category,Fighting,900
category,Economic,878
category,Science Fiction,850
category,Dice,838
category,Party Game,833
category,Abstract Strategy,710
category,Children's Game,704
category,World War II,676
category,Bluffing,655
family,Admin: Better Description Needed!,643
category,Humor,580
designer,(Uncredited),575
category,Animals,572
category,Adventure,541
category,Medieval,534
category,Action / Dexterity,514
category,Deduction,508
category,Movies / TV / Radio theme,486
category,Miniatures,443
category,Exploration,431
category,Ancient,422
category,Racing,402
family,Solitaire Games,402
category,Negotiation,389
category,Nautical,355
category,Horror,347
category,Real-time,315
category,City Building,310
category,Political,297
artist,Rodger B. MacGowan,288
artist,Franz Vohwinkel,270
category,Trivia,265
category,Territory Building,264
category,Novel-based,253
category,Sports,243
category,Collectible Components,237
category,Memory,236
category,Transportation,230
category,Word Game,229
designer,Reiner Knizia,229
category,Print & Play,212
category,Trains,202
category,Civilization,199
category,Puzzle,194
category,Modern Warfare,193
category,Educational,189
category,Pirates,186
artist,Redmond A. Simonsen,181
family,3D Games,179
category,Napoleonic,167
category,Aviation / Flight,166
category,Mythology,166
artist,(Uncredited),165
artist,Mark Simonitch,165
category,Renaissance,159
category,Industry / Manufacturing,157
category,Murder/Mystery,152
family,Ancient Rome,149
family,Magazine: Strategy & Tactics,146
category,Video Game Theme,144
family,CCGs (Collectible Card Games),141
category,Comic Book / Strip,137
family,Solitaire Wargames,135
category,American Civil War,131
category,American West,131
artist,Michael Menzel,126
category,Zombies,121
category,Space Exploration,119
family,Asian Theme,119
category,World War I,117
category,Electronic,116
family,Animals: Dragons,113
family,Mensa Select,113
category,Farming,111
family,Country: USA,110
category,Travel,109
family,Food / Cooking,106
artist,Claus Stephan,102
category,Maze,101
designer,Wolfgang Kramer,98
family,Country: Japan,97
artist,Charles Kibler,96
category,Spies/Secret Agents,95
category,Prehistoric,88
artist,John Kovalic,86
artist,Harald Lieske,85
family,Country: Greece,84
category,Age of Reason,83
category,Mafia,82
artist,Klemens Franz,79
artist,Oliver Freudenreich,79
designer,Richard H. Berg,79
category,Number,78
designer,James Ernest,78
family,Monopoly,78
designer,Jim Dunnigan,77
family,Country: Russia,77
family,Combinatorial,76
family,Admin: Unreleased Games,75
artist,Doris Matthäus,71
category,Environmental,70
artist,Nicolás Eskubi,69
designer,Dean Essig,69
family,Country: Italy,69
family,Monsters,69
designer,Martin Wallace,68
family, USA),68
artist,Dennis Lohausen,67
family,Country: Egypt,66
family,Country: France,66
family,Country: Germany,66
category,Religious,65
designer,Alan R. Moon,64
designer,Frank Chadwick,62
family,Star Wars,62
designer,Bruno Cathala,61
designer,Klaus Teuber,61
designer,Michael Schacht,61
family,Tolkien Games,61
designer,Steve Jackson (I),60
family,Country: England,60
family,Steampunk,58
artist, Jr.,57
category,Arabian,57
family,Anime & Manga,57
family,Block wargames,57
designer,Bruno Faidutti,55
family,18xx,55
family,Sports: Auto Racing,55
family,Cthulhu Mythos,54
family,Aliens,53
family,Tableau Building,53
family,Tropical theme,53
expansion,Warhammer 40,52
designer, Jr.,51
category,Mature / Adult,50
designer,Friedemann Friese,50
family,Warhammer 40,50
category,Civil War,49
family,Superheroes,49
artist,Christof Tisch,48
category,Math,48
artist,Kurt Miller,47
family,Age of Kings,47
family,Star Trek,47
family,Tube Games,47
family,From RPG books to board games,46
designer,Andrew Looney,45
family,Archaeology,45
family,Country: Spain,45
family,Crowdfunding: Spieleschmiede,45
family,Kosmos two-player series,45
family,Celebrities: Walt Disney,44
family,Country: China,44
designer,Eric M. Lang,43
designer,Mike Elliott,43
family,Animals: Cats,43
family,Campaign Games,43
family,Ghosts,43
family,Marble Games,43
artist,Joe Youst,42
designer,Uwe Rosenberg,42
family,Animals: Dinosaurs,42
family,Trivial Pursuit,42
artist,Peter Dennis,41
category,Post-Napoleonic,41
family,Animals: Apes / Monkeys,41
family,Rummy Games,41
designer,Leo Colovini,40
designer,Reinhard Staupe,40
family,CMGs (Collectible Miniatures Games),40
family,Country: Poland,40
family,Dungeons & Dragons,40
artist,Julien Delval,39
artist,Miguel Coimbra,39
designer,Alex Randolph,39
designer,Stefan Dorra,39
family,Games by the Game Artisans of Canada,39
artist,Brian Schomburg,38
designer,Joseph Miranda,38
designer,Mark Herman,38
family,Sports: Football / Soccer,38
family,Vikings,38
family,Werewolf / Mafia,38
artist,Martin Hoffmann,37
designer,Dan Verssen,37
family,Animals: Mice,37
family,Cities: Venice,37
family,DVD Board Games,37
family,Vampires,37
family,World War 2: Battle of the Bulge,37
artist,Alexander Jung,36
category,American Revolutionary War,36
category,Music,36
designer,Günter Burkhardt,36
family,Animals: Fishes,36
artist,Cyrille Daujean,35
artist,Rolf Vogt,35
designer,Aaron Weissblum,35
designer,Michael Kiesling,35
family,4X games,35
family,Animals: Sheep,35
family,Components: Miniatures,35
artist,Ted Koller,34
artist,Tim Allen,34
category,Book,34
family,Fantasy Flight Silver Line Games,34
family,LEGO,34
family,Risk,34
designer,Klaus-Jürgen Wrede,33
family,Animals: Dogs,33
family,Animals: Pigs,33
family,Polyominoes,33
artist,Chris Quilliams,32
artist,Josh Cappel,32
designer,Christian T. Petersen,32
designer,Michael Bennighof,32
family,Catan,32
artist,Mark Mahaffey,31
artist,Michaela Kienle,31
artist,Vincent Dutrait,31
category,Medical,31
